Job Title,Description,Monthly Salary (USD)
Data Analyst,Collects and analyzes data to help make business decisions.,"$5,000"
Research Assistant,Supports research projects by collecting data and performing analysis.,"$4,200"
Statistical Assistant,Assists statisticians in performing calculations and interpreting results.,"$4,500"
Data Quality Analyst,Ensures data accuracy and integrity within databases.,"$4,800"
Insurance Data Assistant,Supports insurance data management and reporting tasks.,"$4,600"
AI Assistant Developer,Helps develop AI models and assists in machine learning tasks.,"$5,500"
Junior Python Developer,Writes and maintains Python code under supervision.,"$5,200"
QA Automation Assistant,Supports automated testing to ensure software quality.,"$5,000"
Software Engineering Intern,Learns and assists in software development projects.,"$4,000"
Applied Statistics Specialist,Applies statistical methods to solve practical problems.,"$5,400"
Junior Statistical Analyst,Analyzes data trends and assists in reporting findings.,"$4,700"
Biostatistics Assistant,Supports statistical analysis in biology or healthcare projects.,"$4,500"
C Programming,Develops software using the C programming language.,"$5,000"
Technical Product Coordinator,Coordinates technical product development and team tasks.,"$4,800"
C# Developer,Writes and maintains software using C# and .NET frameworks.,"$5,300"
Data Processing Specialist,Processes and manages data for analysis and reporting.,"$5,000"
Technical Workflow Coordinator,Organizes and optimizes technical workflows and processes.,"$4,700"
Junior Technical Consultant,Provides technical support and consulting under supervision.,"$5,000"
ASIC Design Engineer,Designs application-specific integrated circuits (ASICs).,"$6,000"
Linux Support Technician,Maintains Linux systems and resolves technical issues.,"$4,800"
DevOps Intern,Assists in deployment and operations of software systems.,"$4,200"
Network Technician,Supports and maintains network hardware and software.,"$4,600"
UI/UX Designer,Designs user interfaces and improves user experiences.,"$5,000"
Data Management Assistant,Manages databases and ensures data integrity.,"$4,900"
ML Model Testing Intern,Tests machine learning models and verifies performance.,"$5,200"
QA Automation Engineer (Entry-Level),Creates automated tests to ensure software quality.,"$5,100"
Product Design Intern,Assists in designing products and creating prototypes.,"$4,300"
Junior Database Administrator,Supports database maintenance and optimization tasks.,"$5,000"
Cloud Engineering Intern,Assists in managing cloud infrastructure and services.,"$5,400"
UX Research Assistant,Helps conduct user research and analyze feedback.,"$4,500"
Backend Developer Intern,Develops server-side code and manages databases.,"$5,200"
Systems Engineer,Designs and maintains complex computer systems.,"$6,500"
Kernel / Systems Programmer,Develops low-level system software and OS kernels.,"$6,300"
High-Performance Computing (HPC) Engineer,Optimizes software for high-performance computing systems.,"$6,800"
Distributed Systems Engineer,Builds and manages distributed software systems.,"$6,600"
Graph Algorithms Engineer,Designs and implements graph-based algorithms.,"$6,400"
Verification Engineer,Verifies hardware and software functionality.,"$6,100"
Graphics Programmer,Develops graphics and rendering software.,"$6,000"
Rendering Engineer,Works on rendering pipelines for visual applications.,"$6,200"
Computer Vision Engineer,Develops algorithms for image and video analysis.,"$7,000"
Digital Signal Processing (DSP) Engineer,Works on digital signal processing systems.,"$6,700"
Cybersecurity Analyst / SOC Analyst,Monitors and secures computer systems against threats.,"$6,400"
AI Engineer / NLP Engineer,Builds AI and natural language processing systems.,"$7,200"
Device Driver Engineer,Develops device drivers for hardware components.,"$6,500"
Operating Systems Developer,Works on OS development and system software.,"$6,800"
Big Data Engineer,Designs systems to process and analyze large datasets.,"$7,100"
